Date;Sales;Aedes Aegypti;Curah Hujan;DBD;Demam Berdarah;Malaria
Jan/18;92743;36;895;1432;879;377
Feb/18;83872;62;1469;1422;785;363
Mar/18;86782;38;944;1902;917;371
Apr/18;88389;24;394;1348;704;2599
May/18;101996;21;357;1083;687;997
Jun/18;79479;13;384;1234;506;902
Jul/18;122042;13;394;1400;547;986
Aug/18;127977;12;368;1511;411;499
Sep/18;122848;27;382;1555;399;656
Oct/18;121503;24;1022;1656;524;687
Nov/18;110189;31;1195;1775;528;688
Dec/18;117232;35;1135;2238;643;573
Jan/19;;181;1057;6975;1875;736
Feb/19;;131;904;10906;2438;817
Mar/19;;97;1367;6141;1038;936